trading_pair,date,open,high,low,close,volume
DOGE-USD,3/19/2020 19:00:00,None,None,None,None,None
DOGE-USD,3/18/2020 19:00:00,None,None,None,None,None
DOGE-USD,3/17/2020 19:00:00,None,None,None,None,None
DOGE-USD,3/16/2020 19:00:00,None,None,None,None,None
DOGE-USD,3/15/2020 19:00:00,None,None,None,None,None
DOGE-USD,3/14/2020 19:00:00,None,None,None,None,None
DOGE-USD,3/13/2020 19:00:00,None,None,None,None,None
DOGE-USD,3/12/2020 19:00:00,None,None,None,None,None
DOGE-USD,3/11/2020 19:00:00,None,None,None,None,None
DOGE-USD,3/10/2020 19:00:00,None,None,None,None,None
DOGE-USD,3/9/2020 19:00:00,None,None,None,None,None
DOGE-USD,3/8/2020 19:00:00,None,None,None,None,None
DOGE-USD,3/7/2020 19:00:00,None,None,None,None,None
DOGE-USD,3/6/2020 19:00:00,None,None,None,None,None
DOGE-USD,3/5/2020 19:00:00,None,None,None,None,None
DOGE-USD,3/4/2020 19:00:00,None,None,None,None,None
DOGE-USD,3/3/2020 19:00:00,None,None,None,None,None
DOGE-USD,3/2/2020 19:00:00,None,None,None,None,None
DOGE-USD,3/1/2020 19:00:00,None,None,None,None,None
DOGE-USD,2/29/2020 19:00:00,None,None,None,None,None
DOGE-USD,2/28/2020 19:00:00,None,None,None,None,None
DOGE-USD,2/27/2020 19:00:00,None,None,None,None,None
DOGE-USD,2/26/2020 19:00:00,None,None,None,None,None
DOGE-USD,2/25/2020 19:00:00,None,None,None,None,None
DOGE-USD,2/24/2020 19:00:00,None,None,None,None,None
DOGE-USD,2/23/2020 19:00:00,None,None,None,None,None
DOGE-USD,2/22/2020 19:00:00,None,None,None,None,None
DOGE-USD,2/21/2020 19:00:00,None,None,None,None,None
DOGE-USD,2/20/2020 19:00:00,None,None,None,None,None
DOGE-USD,2/19/2020 19:00:00,None,None,None,None,None
DOGE-USD,2/18/2020 19:00:00,None,None,None,None,None
DOGE-USD,2/17/2020 19:00:00,None,None,None,None,None
DOGE-USD,2/16/2020 19:00:00,None,None,None,None,None
DOGE-USD,2/15/2020 19:00:00,None,None,None,None,None
DOGE-USD,2/14/2020 19:00:00,None,None,None,None,None
DOGE-USD,2/13/2020 19:00:00,None,None,None,None,None
DOGE-USD,2/12/2020 19:00:00,None,None,None,None,None
DOGE-USD,2/11/2020 19:00:00,None,None,None,None,None
DOGE-USD,2/10/2020 19:00:00,None,None,None,None,None
DOGE-USD,2/9/2020 19:00:00,None,None,None,None,None
DOGE-USD,2/8/2020 19:00:00,None,None,None,None,None
DOGE-USD,2/7/2020 19:00:00,None,None,None,None,None
DOGE-USD,2/6/2020 19:00:00,None,None,None,None,None
DOGE-USD,2/5/2020 19:00:00,None,None,None,None,None
DOGE-USD,2/4/2020 19:00:00,None,None,None,None,None
DOGE-USD,2/3/2020 19:00:00,None,None,None,None,None
DOGE-USD,2/2/2020 19:00:00,None,None,None,None,None
DOGE-USD,2/1/2020 19:00:00,None,None,None,None,None
DOGE-USD,1/31/2020 19:00:00,None,None,None,None,None
DOGE-USD,1/30/2020 19:00:00,None,None,None,None,None
DOGE-USD,1/29/2020 19:00:00,None,None,None,None,None
DOGE-USD,1/28/2020 19:00:00,None,None,None,None,None
DOGE-USD,1/27/2020 19:00:00,None,None,None,None,None
DOGE-USD,1/26/2020 19:00:00,None,None,None,None,None
DOGE-USD,1/25/2020 19:00:00,None,None,None,None,None
DOGE-USD,1/24/2020 19:00:00,None,None,None,None,None
DOGE-USD,1/23/2020 19:00:00,None,None,None,None,None
DOGE-USD,1/22/2020 19:00:00,None,None,None,None,None
DOGE-USD,1/21/2020 19:00:00,None,None,None,None,None
DOGE-USD,1/20/2020 19:00:00,None,None,None,None,None
DOGE-USD,1/19/2020 19:00:00,None,None,None,None,None
DOGE-USD,1/18/2020 19:00:00,None,None,None,None,None
DOGE-USD,1/17/2020 19:00:00,None,None,None,None,None
DOGE-USD,1/16/2020 19:00:00,None,None,None,None,None
DOGE-USD,1/15/2020 19:00:00,None,None,None,None,None
DOGE-USD,1/14/2020 19:00:00,None,None,None,None,None
DOGE-USD,1/13/2020 19:00:00,None,None,None,None,None
DOGE-USD,1/12/2020 19:00:00,None,None,None,None,None
DOGE-USD,1/11/2020 19:00:00,None,None,None,None,None
DOGE-USD,1/10/2020 19:00:00,None,None,None,None,None
DOGE-USD,1/9/2020 19:00:00,None,None,None,None,None
DOGE-USD,1/8/2020 19:00:00,None,None,None,None,None
DOGE-USD,1/7/2020 19:00:00,None,None,None,None,None
DOGE-USD,1/6/2020 19:00:00,None,None,None,None,None
DOGE-USD,1/5/2020 19:00:00,None,None,None,None,None
DOGE-USD,1/4/2020 19:00:00,None,None,None,None,None
DOGE-USD,1/3/2020 19:00:00,None,None,None,None,None
DOGE-USD,1/2/2020 19:00:00,None,None,None,None,None
DOGE-USD,1/1/2020 19:00:00,None,None,None,None,None
DOGE-USD,8/22/2021 20:00:00,0.3128,0.328,0.3149,0.3179,312992689.9
DOGE-USD,8/21/2021 20:00:00,0.3052,0.3217,0.3171,0.3149,200280984.5
DOGE-USD,8/20/2021 20:00:00,0.3145,0.3296,0.3276,0.3173,277716902
DOGE-USD,8/19/2021 20:00:00,0.3136,0.3349,0.3178,0.3273,393858940.9
